Id,Input Directory,Lowerest Image Numbers,Highest Image Numbers,Number of categories,Freeze layers from,Batch Size,Number of Epcochs,Learning rate,Optimizer,Momentum,Decay,Validation Loss,Validation Accuracy,Execution Time
0,whole_mini,0,1,0,249,32,60,0.003000,SGD,0.000000,0.000000,0.9830,0.7337,0:09:32.760071
1,whole_mini,0,1,0,249,32,60,0.003000,SGD,0.000000,0.000000,0.5924,0.8291,0:25:01.545865
4,whole_mini,0,1,0,249,32,60,0.003000,SGD,0.000000,0.000000,0.5745,0.8392,0:26:18.707440
5,whole_mini,0,1,0,249,32,60,0.003000,SGD,0.000000,0.000000,0.4748,0.8643,0:25:09.288862
6,whole_mini,0,1,0,172,32,60,0.003000,SGD,0.000000,0.000000,0.4050,0.8920,0:30:59.912476
7,whole_mini,0,1,0,35,32,60,0.003000,SGD,0.000000,0.000000,0.4378,0.8593,0:24:20.364118
8,whole_mini,0,1,0,78,32,60,0.003000,SGD,0.000000,0.000000,0.4348,0.8668,0:23:14.416845
9,whole_mini,0,1,0,155,32,60,0.003000,SGD,0.000000,0.000000,0.4347,0.8769,0:24:19.999869
10,whole_mini,0,1,0,178,32,60,0.003000,SGD,0.000000,0.000000,0.4659,0.8719,0:25:34.341951
